Date,PX_LAST
2001/4/19,1126.54
2001/4/20,1127.1
2001/4/23,1131.43
2001/4/24,1131.39
2001/4/25,1130.67
2001/4/26,1137.05
2001/4/27,1129.85
2001/4/30,1133.53
2001/5/1,1136.91
2001/5/2,1138.33
2001/5/3,1144.28
2001/5/4,1145.31
2001/5/7,1144.44
2001/5/8,1142.72
2001/5/9,1145.18
2001/5/10,1139.19
2001/5/11,1128.49
2001/5/14,1133.16
2001/5/15,1132.07
2001/5/16,1135.09
2001/5/17,1137.9
2001/5/18,1139.73
2001/5/21,1139.94
2001/5/22,1139.67
2001/5/23,1140.26
2001/5/24,1135
2001/5/25,1135.62
2001/5/29,1136.44
2001/5/30,1137.14
2001/5/31,1143.59
2001/6/1,1147.23
2001/6/4,1150.15
2001/6/5,1154.99
2001/6/6,1156
2001/6/7,1153.14
2001/6/8,1150.06
2001/6/11,1153.31
2001/6/12,1155.85
2001/6/13,1154.96
2001/6/14,1158.05
2001/6/15,1156.22
2001/6/18,1154.89
2001/6/19,1153.96
2001/6/20,1154.5
2001/6/21,1156.41
2001/6/22,1162.11
2001/6/25,1162.4
2001/6/26,1157.17
2001/6/27,1156.26
2001/6/28,1151.34
2001/6/29,1149.31
2001/7/2,1154.23
2001/7/3,1151.88
2001/7/5,1150.24
2001/7/6,1153.33
2001/7/9,1154.93
2001/7/10,1158.14
2001/7/11,1156.99
2001/7/12,1160
2001/7/13,1159.75
2001/7/16,1163.48
2001/7/17,1163.83
2001/7/18,1170.9
2001/7/19,1171.32
2001/7/20,1171.81
2001/7/23,1173.35
2001/7/24,1174.87
2001/7/25,1171.02
2001/7/26,1172.77
2001/7/27,1176.69
2001/7/30,1179.27
2001/7/31,1180.46
2001/8/1,1179.63
2001/8/2,1175.65
2001/8/3,1174.53
2001/8/6,1175.4
2001/8/7,1175.6
2001/8/8,1182.13
2001/8/9,1180.11
2001/8/10,1182.24
2001/8/13,1183.05
2001/8/14,1182.44
2001/8/15,1181.33
2001/8/16,1183.17
2001/8/17,1187.75
2001/8/20,1184.14
2001/8/21,1185.48
2001/8/22,1185.56
2001/8/23,1187.98
2001/8/24,1186.9
2001/8/27,1186.71
2001/8/28,1192.46
2001/8/29,1196.35
2001/8/30,1196.24
2001/8/31,1195.79
2001/9/4,1184.03
2001/9/5,1185.81
2001/9/6,1191.13
2001/9/7,1194
2001/9/10,1191.19
2001/9/14,1193.97
2001/9/17,1190.25
2001/9/18,1185.77
2001/9/19,1189.3
2001/9/20,1184.48
2001/9/21,1185.19
2001/9/24,1185.86
2001/9/25,1187.51
2001/9/26,1191.93
2001/9/27,1196.16
2001/9/28,1191.78
2001/10/1,1194.75
2001/10/2,1199.2
2001/10/3,1202.42
2001/10/4,1202.06
2001/10/5,1202.54
2001/10/9,1198.19
2001/10/10,1198.94
2001/10/11,1195.26
2001/10/12,1196.89
2001/10/15,1201.24
2001/10/16,1204.95
2001/10/17,1206.19
2001/10/18,1207.25
2001/10/19,1204.91
2001/10/22,1205.27
2001/10/23,1204.04
2001/10/24,1207.64
2001/10/25,1208.73
2001/10/26,1208.41
2001/10/29,1210.83
2001/10/30,1213.05
2001/10/31,1221.11
2001/11/1,1222.96
2001/11/2,1215.19
2001/11/5,1219.96
2001/11/6,1224.3
2001/11/7,1231.37
2001/11/8,1226.89
2001/11/9,1225.09
2001/11/13,1224.08
2001/11/14,1218.07
2001/11/15,1205.21
2001/11/16,1198.1
2001/11/19,1208.68
2001/11/20,1203.26
2001/11/21,1197.92
2001/11/23,1196.32
2001/11/26,1198.16
2001/11/27,1203.04
2001/11/28,1201.92
2001/11/29,1211.26
2001/11/30,1210.79
2001/12/3,1210.39
2001/12/4,1214.09
2001/12/5,1201.59
2001/12/6,1197.67
2001/12/7,1189.46
2001/12/10,1190.74
2001/12/11,1194.42
2001/12/12,1199.65
2001/12/13,1192.49
2001/12/14,1186.39
2001/12/17,1182.02
2001/12/18,1189.04
2001/12/19,1194.46
2001/12/20,1194.56
2001/12/21,1196.05
2001/12/24,1193.86
2001/12/26,1192.51
2001/12/27,1198.01
2001/12/28,1197.21
2001/12/31,1202.03
2002/1/2,1197.28
2002/1/3,1201.48
2002/1/4,1200.26
2002/1/7,1207.64
2002/1/8,1207.16
2002/1/9,1209.15
2002/1/10,1215.42
2002/1/11,1219.35
